#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 04 07 15 230  2.1 99.0 99.00 99.00 99.00 999 9999.0   8.6   5.2   7.8 99.0 99.00
2023 01 04 07 45 190  3.1 99.0 99.00 99.00 99.00 999 9999.0   8.1   5.2   7.3 99.0 99.00
2023 01 04 08 15 190  4.1 99.0 99.00 99.00 99.00 999 9999.0   9.5   5.2   8.7 99.0 99.00
2023 01 04 08 45 250  3.1 99.0 99.00 99.00 99.00 999 9999.0   8.1   5.3   6.8 99.0 99.00
2023 01 04 09 15 210  3.1 99.0 99.00 99.00 99.00 999 9999.0   8.5   5.3   7.6 99.0 99.00
2023 01 04 09 45 210  4.1 99.0 99.00 99.00 99.00 999 9999.0   9.5   5.3   8.2 99.0 99.00
2023 01 04 10 15 200  3.1 99.0 99.00 99.00 99.00 999 9999.0   9.3   5.2   8.1 99.0 99.00
2023 01 04 10 45 200  4.1 99.0 99.00 99.00 99.00 999 9999.0  10.5   5.2   9.1 99.0 99.00
2023 01 04 11 15 210  4.1 99.0 99.00 99.00 99.00 999 9999.0  10.4   5.2   9.0 99.0 99.00
2023 01 04 11 45 200  4.6 99.0 99.00 99.00 99.00 999 9999.0   9.9   5.2   8.5 99.0 99.00
2023 01 04 12 15 200  3.1 99.0 99.00 99.00 99.00 999 9999.0   9.2   5.2   7.9 99.0 99.00
2023 01 04 12 45 200  2.6 99.0 99.00 99.00 99.00 999 9999.0   9.3   5.2   8.4 99.0 99.00
2023 01 04 13 15 200  3.1 99.0 99.00 99.00 99.00 999 9999.0  10.3   5.2   9.3 99.0 99.00
2023 01 04 13 45 210  4.1 99.0 99.00 99.00 99.00 999 9999.0  10.4   5.2   9.0 99.0 99.00
2023 01 04 14 15 200  5.1 99.0 99.00 99.00 99.00 999 9999.0  10.1   5.2   8.7 99.0 99.00
2023 01 04 14 45 190  4.1 99.0 99.00 99.00 99.00 999 9999.0  10.1   5.3   8.8 99.0 99.00
2023 01 04 15 15 190  3.6 99.0 99.00 99.00 99.00 999 9999.0  12.3   5.3  10.6 99.0 99.00
2023 01 04 15 45 200  3.6 99.0 99.00 99.00 99.00 999 9999.0  12.1   5.4  10.2 99.0 99.00
